,Diabetes: Hemoglobin A1c Poor Control,122v4,0059,001,Percentage of patients 18-75 years of age with diabetes who had hemoglobin A1c > 9.0% during the measurement period,Effective Clinical Care, Intermediate Outcome,National Committee for Quality Assurance,-,-,X,-,X,X,X,X,"Diabetic Mellitus
Diabetic Retinopathy",X,X,-,-,X,-,Measure Specification Manuals
,Diabetes: Low Density Lipoprotein (LDL-C) Control (<100 mg/dL),163v4,N/A,002,Percentage of patients 18–75 years of age with diabetes whose LDL-C was adequately controlled (< 100 mg/dL) during the measurement period,Effective Clinical Care, Intermediate Outcome,National Committee for Quality Assurance,-,-,-,-,X,-,-,-,-,-,-,-,-,X,X,Measure Specification Manuals
,Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD),135v4,0081,005,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) < 40% who were prescribed ACE inhibitor or ARB therapy either within a 12 month period when seen in the outpatient setting OR at each hospital discharge,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American College of Cardiology Foundation,American Heart Association,-,-,X,-,X,X,Heart Failure,-,-,-,-,X,-,Measure Specification Manuals
,Coronary Artery Disease (CAD): Antiplatelet Therapy,N/A,0067,006,Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease (CAD) seen within a 12 month period who were prescribed aspirin or clopidogrel,Effective Clinical Care,Process,American College of Cardiology,American Heart Association,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,-,X,X,Coronary Artery Disease,-,X,-,-,-,-,Measure Specification Manuals
,Coronary Artery Disease (CAD): Beta-Blocker Therapy – Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),145v4,0070,007,Percentage of patients aged 18 years and older with a diagnosis of coronary artery disease seen within a 12 month period who also have prior MI OR a current or prior LVEF < 40% who were prescribed beta-blocker therapy ,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American College of Cardiology Foundation,American Heart Association,-,-,X,-,X,X,Coronary Artery Disease,-,-,-,-,X,-,Measure Specification Manuals
,Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),144v4,0083,008,Percentage of patients aged 18 years and older with a diagnosis of heart failure (HF) with a current or prior left ventricular ejection fraction (LVEF) < 40% who were prescribed beta-blocker therapy either within a 12 month period when seen in the outpatient setting OR at each hospital discharge,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American College of Cardiology Foundation,American Heart Association,-,-,X,X,X,X,Heart Failure,-,X,-,-,X,-,Measure Specification Manuals
,Anti-Depressant Medication Management,128v4,0105,009,"Percentage of patients 18 years of age and older who were diagnosed with major depression and treated with antidepressant medication,   and who remained on antidepressant medication treatment. Two rates are reported
a. Percentage of patients who remained on an antidepressant medication for at least 84 days (12 weeks).
b. Percentage of patients who remained on an antidepressant medication for at least 180 days (6 months).
",Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,Measure Specification Manuals
,Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation,143v4,0086,012,Percentage of patients aged 18 years and older with a diagnosis of primary open-angle glaucoma (POAG) who have an optic nerve head evaluation during one or more office visits within 12 months,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,X,-,-,X,-,-,-,-,-,X,-,Measure Specification Manuals
,Age-Related Macular Degeneration (AMD): Dilated Macular Examination,N/A,0087,014,Percentage of patients aged 50 years and older with a diagnosis of age-related macular degeneration (AMD) who had a dilated macular examination performed which included documentation of the presence or absence of macular thickening or hemorrhage AND the level of macular degeneration severity during one or more office visits within 12 months,Effective Clinical Care,Process,American Academy of Ophthalmology,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Measure Specification Manuals
,Diabetic Retinopathy: Documentation of Presence or Absence of Macular Edema and Level of Severity of Retinopathy,167v4,0088,018,Percentage of patients aged 18 years and older with a diagnosis of diabetic retinopathy who had a dilated macular or fundus exam performed which included documentation of the level of severity of retinopathy and the presence or absence of macular edema during one or more office visits within 12 months,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,-,-,X,-,X,-,Diabetic Retinopathy,-,-,-,-,X,-,Measure Specification Manuals
