Diabetes: Hemoglobin A1c Poor Control,122v4,0059,001,Effective Clinical Care, Intermediate Outcome,National Committee for Quality Assurance,-,-,X,-,X,X,X,X,"Diabetic Mellitus
Diabetic Retinopathy",X,X,-,-,X,-,GenPractice|Internal,Measure Specification Manuals
Diabetes: Low Density Lipoprotein (LDL-C) Control (<100 mg/dL),163v4,N/A,002,Effective Clinical Care, Intermediate Outcome,National Committee for Quality Assurance,-,-,-,-,X,-,-,-,-,-,-,-,-,X,X,,Measure Specification Manuals
Heart Failure (HF): Angiotensin-Converting Enzyme (ACE) Inhibitor or Angiotensin Receptor Blocker (ARB) Therapy for Left Ventricular Systolic Dysfunction (LVSD),135v4,0081,005,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American College of Cardiology Foundation,American Heart Association,-,-,X,-,X,X,Heart Failure,-,-,-,-,X,-,Cardio|GenPractice|Hospital|Internal,Measure Specification Manuals
Coronary Artery Disease (CAD): Antiplatelet Therapy,N/A,0067,006,Effective Clinical Care,Process,American College of Cardiology,American Heart Association,American Medical Association-Physician Consortium for Performance Improvement,-,-,-,-,X,X,Coronary Artery Disease,-,X,-,-,-,-,Cardio,Measure Specification Manuals
Coronary Artery Disease (CAD): Beta-Blocker Therapy – Prior Myocardial Infarction (MI) or Left Ventricular Systolic Dysfunction (LVEF < 40%),145v4,0070,007,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American College of Cardiology Foundation,American Heart Association,-,-,X,-,X,X,Coronary Artery Disease,-,-,-,-,X,-,Cardio,Measure Specification Manuals
Heart Failure (HF): Beta-Blocker Therapy for Left Ventricular Systolic Dysfunction (LVSD),144v4,0083,008,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,American College of Cardiology Foundation,American Heart Association,-,-,X,X,X,X,Heart Failure,-,X,-,-,X,-,Cardio|Hospital,Measure Specification Manuals
Anti-Depressant Medication Management,128v4,0105,009,Effective Clinical Care,Process,National Committee for Quality Assurance,-,-,-,-,X,-,-,-,-,-,-,-,-,X,-,Internal,Measure Specification Manuals
Primary Open-Angle Glaucoma (POAG): Optic Nerve Evaluation,143v4,0086,012,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,X,-,-,X,-,-,-,-,-,X,-,Optho,Measure Specification Manuals
Age-Related Macular Degeneration (AMD): Dilated Macular Examination,N/A,0087,014,Effective Clinical Care,Process,American Academy of Ophthalmology,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Optho,Measure Specification Manuals
Diabetic Retinopathy: Documentation of Presence or Absence of Macular Edema and Level of Severity of Retinopathy,167v4,0088,018,Effective Clinical Care,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,-,-,X,-,X,-,Diabetic Retinopathy,-,-,-,-,X,-,Optho,Measure Specification Manuals
Diabetic Retinopathy: Communication with the Physician Managing Ongoing Diabetes Care,142v4,0089,019,Communication and Care Coordination ,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,X,-,X,X,Diabetic Retinopathy,-,-,-,-,X,-,Optho,Measure Specification Manuals
Perioperative Care: Selection of Prophylactic Antibiotic – First OR Second Generation Cephalosporin,N/A,0268,021,Patient Safety,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,-,-,-,X,-,-,-,-,-,-,-,GenSurgery,Measure Specification Manuals
Perioperative Care: Discontinuation of Prophylactic Parenteral Antibiotics (Non-Cardiac Procedures),N/A,0271,022,Patient Safety,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,-,-,-,X,-,-,-,-,-,-,-,GenSurgery,Measure Specification Manuals
Perioperative Care: Venous Thromboembolism (VTE) Prophylaxis (When Indicated in ALL Patients),N/A,0239,023,Patient Safety,Process,American Medical Association-Physician Consortium for Performance Improvement,National Committee for Quality Assurance,-,X,-,-,-,-,X,-,-,-,-,-,-,-,GenSurgery,Measure Specification Manuals
Communication with the Physician or Other Clinician Managing On-going Care Post-Fracture for Men and Women Aged 50 Years and Older,N/A,0045,024,Communication and Care Coordination,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,-,-,-,-,-,-,,Measure Specification Manuals
Stroke and Stroke Rehabilitation: Discharged on Antithrombotic Therapy,N/A,0325,032,Effective Clinical Care,Process,American Academy of Neurology,-,-,X,-,-,-,-,X,-,-,-,-,-,-,-,Hospital,Measure Specification Manuals
Screening for Osteoporosis for Women Aged 65-85 Years of Age,N/A,0046,039,Effective Clinical Care,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,X,X,Preventive Care,-,-,-,-,-,-,ObGyn,Measure Specification Manuals
Osteoporosis: Pharmacologic Therapy for Men and Women Aged 50 Years and Older,N/A,N/A,041,Effective Clinical Care,Process,National Committee for Quality Assurance,American Medical Association-Physician Consortium for Performance Improvement,-,X,-,-,-,-,X,-,-,-,-,-,-,-,GenPractice|Internal|ObGyn,Measure Specification Manuals
Coronary Artery Bypass Graft (CABG): Use of Internal Mammary Artery (IMA) in Patients with Isolated CABG Surgery,N/A,0134,043,Effective Clinical Care,Process,Society of Thoracic Surgeons,-,-,-,-,-,-,X,X,Coronary Artery Bypass Graft,-,-,-,-,-,-,,Measure Specification Manuals
Coronary Artery Bypass Graft (CABG): Preoperative Beta-Blocker in Patients with Isolated CABG Surgery,N/A,0236,044,Effective Clinical Care,Process,Centers for Medicare & Medicaid Services,Quality Insights of Pennsylvania,-,-,-,-,-,X,X,Coronary Artery Bypass Graft,-,-,-,-,-,-,,Measure Specification Manuals
